"RoleName","Operation","Allowed"
"Contributor","Microsoft.AAD/register/action","True"
"Contributor","Microsoft.AAD/unregister/action","True"
"Contributor","Microsoft.AAD/register/action","True"
"Contributor","Microsoft.AAD/domainServices/read","True"
"Contributor","Microsoft.AAD/domainServices/write","True"
"Contributor","Microsoft.AAD/domainServices/delete","True"
"Contributor","Microsoft.AAD/locations/operationresults/read","True"
"Contributor","Microsoft.AAD/Operations/read","True"
"Contributor","Microsoft.AAD/domainServices/oucontainer/read","True"
"Contributor","Microsoft.AAD/domainServices/oucontainer/write","True"
"Contributor","Microsoft.AAD/domainServices/oucontainer/delete","True"
"Contributor","Microsoft.AAD/domainServices/providers/Microsoft.Insights/logDefinitions/read","True"
"Contributor","Microsoft.AAD/domainServices/providers/Microsoft.Insights/diagnosticSettings/read","True"
"Contributor","Microsoft.AAD/domainServices/providers/Microsoft.Insights/diagnosticSettings/write","True"
"Contributor","Microsoft.AAD/domainServices/OutboundNetworkDependenciesEndpoints/read","True"
"Contributor","Microsoft.AAD/domainServices/providers/Microsoft.Insights/metricDefinitions/read","True"
"Contributor","microsoft.aadiam/tenants/providers/Microsoft.Insights/logDefinitions/read","True"
"Contributor","microsoft.aadiam/tenants/providers/Microsoft.Insights/diagnosticSettings/read","True"
"Contributor","microsoft.aadiam/tenants/providers/Microsoft.Insights/diagnosticSettings/write","True"
"Contributor","microsoft.aadiam/diagnosticsettings/write","True"
"Contributor","microsoft.aadiam/diagnosticsettings/read","True"
"Contributor","microsoft.aadiam/diagnosticsettings/delete","True"
"Contributor","microsoft.aadiam/diagnosticsettingscategories/read","True"
"Contributor","microsoft.aadiam/metrics/read","True"
"Contributor","microsoft.aadiam/metricDefinitions/read","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/read","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/write","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/delete","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionsApproval/action","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/read","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/delete","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/validate/action","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/read","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/write","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/delete","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/read","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/write","True"
"Contributor","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete","True"
"Contributor","microsoft.aadiam/azureADMetrics/read","True"
"Contributor","microsoft.aadiam/azureADMetrics/write","True"
"Contributor","microsoft.aadiam/azureADMetrics/delete","True"
"Contributor","microsoft.aadiam/azureADMetrics/providers/Microsoft.Insights/metricDefinitions/read","True"
"Contributor","microsoft.aadiam/azureADMetrics/providers/Microsoft.Insights/diagnosticSettings/read","True"
"Contributor","microsoft.aadiam/azureADMetrics/providers/Microsoft.Insights/diagnosticSettings/write","True"
"Contributor","Microsoft.Addons/register/action","True"
"Contributor","Microsoft.Addons/supportProviders/supportPlanTypes/read","True"
"Contributor","Microsoft.Addons/supportProviders/supportPlanTypes/write","True"
"Contributor","Microsoft.Addons/supportProviders/supportPlanTypes/delete","True"
"Contributor","Microsoft.Addons/operations/read","True"
"Contributor","Microsoft.Addons/supportProviders/listsupportplaninfo/action","True"
"Contributor","Microsoft.ADHybridHealthService/configuration/action","True"
"Contributor","Microsoft.ADHybridHealthService/services/action","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/action","True"
"Contributor","Microsoft.ADHybridHealthService/register/action","True"
"Contributor","Microsoft.ADHybridHealthService/unregister/action","True"
"Contributor","Microsoft.ADHybridHealthService/configuration/write","True"
"Contributor","Microsoft.ADHybridHealthService/configuration/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/write","True"
"Contributor","Microsoft.ADHybridHealthService/services/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/delete","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/action","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/delete","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/alerts/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/alerts/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/alerts/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/tenantwhitelisting/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/serviceconfiguration/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/metrics/groups/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/exportstatus/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/datafreshness/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/credentials/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/reports/details/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/premiumcheck/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/monitoringconfigurations/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/monitoringconfigurations/write","True"
"Contributor","Microsoft.ADHybridHealthService/services/monitoringconfiguration/write","True"
"Contributor","Microsoft.ADHybridHealthService/services/metrics/groups/sum/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/metrics/groups/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/metrics/groups/average/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/metricmetadata/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/exportstatus/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/exporterrors/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/checkservicefeatureavailibility/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/updateselecteddeployment/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/tenantassigneddeployment/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/selecteddeployment/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/selectdevopstenant/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/isdevops/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/consentedtodevopstenants/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/badpassworduseridipfrequency/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/availabledeployments/read","True"
"Contributor","Microsoft.ADHybridHealthService/reports/badpassword/read","True"
"Contributor","Microsoft.ADHybridHealthService/logs/read","True"
"Contributor","Microsoft.ADHybridHealthService/logs/contents/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/write","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/servicemembers/action","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/delete","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/servicemembers/credentials/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/servicemembers/delete","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/replicationsummary/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/replicationstatus/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/premiumcheck/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/metrics/groups/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/metricmetadata/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/forestsummary/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/features/userpreference/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/dimensions/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/configuration/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/alerts/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/feedbacktype/feedback/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read","True"
"Contributor","Microsoft.ADHybridHealthService/addsservices/replicationdetails/read","True"
"Contributor","Microsoft.ADHybridHealthService/operations/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/servicemembers/metrics/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/reports/blobUris/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/reports/generateBlobUri/action","True"
"Contributor","Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/read","True"
"Contributor","Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/write","True"
"Contributor","Microsoft.ADHybridHealthService/services/ipAddressAggregates/read","True"
"Contributor","Microsoft.AlertsManagement/register/action","True"
"Contributor","Microsoft.AlertsManagement/register/action","True"
"Contributor","Microsoft.AlertsManagement/migrateFromSmartDetection/action","True"
"Contributor","Microsoft.AlertsManagement/alerts/read","True"
"Contributor","Microsoft.AlertsManagement/alerts/changestate/action","True"
"Contributor","Microsoft.AlertsManagement/alertsSummary/read","True"
"Contributor","Microsoft.AlertsManagement/smartGroups/read","True"
"Contributor","Microsoft.AlertsManagement/smartGroups/changestate/action","True"
"Contributor","Microsoft.AlertsManagement/Operations/read","True"
"Contributor","Microsoft.AlertsManagement/actionRules/read","True"
"Contributor","Microsoft.AlertsManagement/actionRules/write","True"
"Contributor","Microsoft.AlertsManagement/actionRules/delete","True"
"Contributor","Microsoft.AlertsManagement/alerts/history/read","True"
"Contributor","Microsoft.AlertsManagement/smartGroups/history/read","True"
"Contributor","Microsoft.AlertsManagement/smartDetectorAlertRules/write","True"
"Contributor","Microsoft.AlertsManagement/smartDetectorAlertRules/read","True"
"Contributor","Microsoft.AlertsManagement/smartDetectorAlertRules/delete","True"
"Contributor","Microsoft.AlertsManagement/alertsMetaData/read","True"
"Contributor","Microsoft.AlertsManagement/migrateFromSmartDetection/read","True"
"Contributor","Microsoft.AlertsManagement/prometheusRuleGroups/write","True"
"Contributor","Microsoft.AlertsManagement/prometheusRuleGroups/delete","True"
"Contributor","Microsoft.AlertsManagement/prometheusRuleGroups/read","True"
"Contributor","Microsoft.AlertsManagement/alertRuleRecommendations/read","True"
"Contributor","Microsoft.AlertsManagement/tenantActivityLogAlerts/write","True"
"Contributor","Microsoft.AlertsManagement/tenantActivityLogAlerts/delete","True"
"Contributor","Microsoft.AlertsManagement/tenantActivityLogAlerts/read","True"
"Contributor","Microsoft.AlertsManagement/investigations/write","True"
"Contributor","Microsoft.AlertsManagement/investigations/delete","True"
"Contributor","Microsoft.AlertsManagement/investigations/read","True"
"Contributor","Microsoft.AlertsManagement/issues/read","True"
"Contributor","Microsoft.AlertsManagement/issues/write","True"
"Contributor","Microsoft.AlertsManagement/issues/delete","True"
"Contributor","Microsoft.AlertsManagement/issues/startInvestigation/action","True"
"Contributor","Microsoft.AlertsManagement/issues/getInvestigationResult/action","True"
"Contributor","Microsoft.AlertsManagement/issues/fetchInvestigationResult/action","True"
"Contributor","Microsoft.AlertsManagement/issues/listAlerts/action","True"
"Contributor","Microsoft.AlertsManagement/issues/addOrUpdateAlerts/action","True"
"Contributor","Microsoft.AlertsManagement/issues/listResources/action","True"
"Contributor","Microsoft.AlertsManagement/issues/addOrUpdateResources/action","True"
"Contributor","Microsoft.AnalysisServices/register/action","True"
"Contributor","Microsoft.AnalysisServices/servers/read","True"
"Contributor","Microsoft.AnalysisServices/servers/write","True"
"Contributor","Microsoft.AnalysisServices/servers/delete","True"
"Contributor","Microsoft.AnalysisServices/servers/suspend/action","True"
"Contributor","Microsoft.AnalysisServices/servers/resume/action","True"
"Contributor","Microsoft.AnalysisServices/servers/listGatewayStatus/action","True"
"Contributor","Microsoft.AnalysisServices/locations/checkNameAvailability/action","True"
"Contributor","Microsoft.AnalysisServices/locations/operationresults/read","True"
"Contributor","Microsoft.AnalysisServices/locations/operationstatuses/read","True"
"Contributor","Microsoft.AnalysisServices/operations/read","True"
"Contributor","Microsoft.AnalysisServices/skus/read","True"
"Contributor","Microsoft.AnalysisServices/servers/skus/read","True"
"Contributor","Microsoft.AnalysisServices/servers/providers/Microsoft.Insights/metricDefinitions/read","True"
"Contributor","Microsoft.AnalysisServices/servers/providers/Microsoft.Insights/logDefinitions/read","True"
"Contributor","Microsoft.AnalysisServices/servers/providers/Microsoft.Insights/diagnosticSettings/read","True"
"Contributor","Microsoft.AnalysisServices/servers/providers/Microsoft.Insights/diagnosticSettings/write","True"
"Contributor","Microsoft.ApiManagement/register/action","True"
"Contributor","Microsoft.ApiManagement/unregister/action","True"
"Contributor","Microsoft.ApiManagement/service/write","True"
"Contributor","Microsoft.ApiManagement/service/read","True"
"Contributor","Microsoft.ApiManagement/service/delete","True"
"Contributor","Microsoft.ApiManagement/service/updatehostname/action","True"
"Contributor","Microsoft.ApiManagement/service/updatecertificate/action","True"
"Contributor","Microsoft.ApiManagement/service/backup/action","True"
"Contributor","Microsoft.ApiManagement/service/restore/action","True"
"Contributor","Microsoft.ApiManagement/service/managedeployments/action","True"
"Contributor","Microsoft.ApiManagement/service/getssotoken/action","True"
"Contributor","Microsoft.ApiManagement/service/applynetworkconfigurationupdates/action","True"
"Contributor","Microsoft.ApiManagement/service/scheduledMaintenance/action","True"
"Contributor","Microsoft.ApiManagement/service/users/action","True"
"Contributor","Microsoft.ApiManagement/service/notifications/action","True"
"Contributor","Microsoft.ApiManagement/service/validatePolicies/action","True"
"Contributor","Microsoft.ApiManagement/service/operationresults/read","True"
"Contributor","Microsoft.ApiManagement/operations/read","True"
"Contributor","Microsoft.ApiManagement/checkNameAvailability/read","True"
"Contributor","Microsoft.ApiManagement/service/networkstatus/read","True"
"Contributor","Microsoft.ApiManagement/service/locations/networkstatus/read","True"
"Contributor","Microsoft.ApiManagement/reports/read","True"
"Contributor","Microsoft.ApiManagement/service/providers/Microsoft.Insights/diagnosticSettings/read","True"
"Contributor","Microsoft.ApiManagement/service/providers/Microsoft.Insights/diagnosticSettings/write","True"
"Contributor","Microsoft.ApiManagement/service/providers/Microsoft.Insights/metricDefinitions/read","True"
"Contributor","Microsoft.ApiManagement/service/providers/Microsoft.Insights/logDefinitions/read","True"
"Contributor","Microsoft.ApiManagement/service/tenant/read","True"
"Contributor","Microsoft.ApiManagement/service/tenant/write","True"
"Contributor","Microsoft.ApiManagement/service/tenant/delete","True"
"Contributor","Microsoft.ApiManagement/service/tenant/listSecrets/action","True"
"Contributor","Microsoft.ApiManagement/service/tenant/regeneratePrimaryKey/action","True"
"Contributor","Microsoft.ApiManagement/service/tenant/regenerateSecondaryKey/action","True"
"Contributor","Microsoft.ApiManagement/service/tenant/deploy/action","True"
"Contributor","Microsoft.ApiManagement/service/tenant/save/action","True"
"Contributor","Microsoft.ApiManagement/service/tenant/validate/action","True"
"Contributor","Microsoft.ApiManagement/service/tenant/operationResults/read","True"
"Contributor","Microsoft.ApiManagement/service/tenant/syncState/read","True"
"Contributor","Microsoft.ApiManagement/service/groups/read","True"
"Contributor","Microsoft.ApiManagement/service/groups/write","True"
"Contributor","Microsoft.ApiManagement/service/groups/delete","True"
"Contributor","Microsoft.ApiManagement/service/groups/users/read","True"
"Contributor","Microsoft.ApiManagement/service/groups/users/write","True"
"Contributor","Microsoft.ApiManagement/service/groups/users/delete","True"
"Contributor","Microsoft.ApiManagement/service/users/read","True"
"Contributor","Microsoft.ApiManagement/service/users/write","True"
"Contributor","Microsoft.ApiManagement/service/users/delete","True"
"Contributor","Microsoft.ApiManagement/service/users/generateSsoUrl/action","True"
"Contributor","Microsoft.ApiManagement/service/users/token/action","True"
"Contributor","Microsoft.ApiManagement/service/users/groups/read","True"
"Contributor","Microsoft.ApiManagement/service/users/subscriptions/read","True"
"Contributor","Microsoft.ApiManagement/service/products/read","True"
"Contributor","Microsoft.ApiManagement/service/products/write","True"
"Contributor","Microsoft.ApiManagement/service/products/delete","True"
"Contributor","Microsoft.ApiManagement/service/products/apis/read","True"
"Contributor","Microsoft.ApiManagement/service/products/apis/write","True"
"Contributor","Microsoft.ApiManagement/service/products/apis/delete","True"
