"RoleName","Operation","Allowed"
"Contributor","Microsoft.Authorization/classicAdministrators/delete","False"
"Contributor","Microsoft.Authorization/roleAssignments/delete","False"
"Contributor","Microsoft.Authorization/locks/delete","False"
"Contributor","Microsoft.Authorization/roleDefinitions/delete","False"
"Contributor","Microsoft.Authorization/policySetDefinitions/delete","False"
"Contributor","Microsoft.Authorization/policyDefinitions/delete","False"
"Contributor","Microsoft.Authorization/policyAssignments/delete","False"
"Contributor","Microsoft.Authorization/denyAssignments/delete","False"
"Contributor","Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/delete","False"
"Contributor","Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/delete","False"
"Contributor","Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/delete","False"
"Contributor","Microsoft.Authorization/policyAssignments/privateLinkAssociations/delete","False"
"Contributor","Microsoft.Authorization/policyExemptions/delete","False"
"Contributor","Microsoft.Authorization/diagnosticSettings/delete","False"
"Contributor","Microsoft.Authorization/policySetDefinitions/versions/delete","False"
"Contributor","Microsoft.Authorization/policyDefinitions/versions/delete","False"
"Contributor","Microsoft.Authorization/policyEnrollments/delete","False"
"Contributor","Microsoft.Authorization/classicAdministrators/write","False"
"Contributor","Microsoft.Authorization/roleAssignments/write","False"
"Contributor","Microsoft.Authorization/locks/write","False"
"Contributor","Microsoft.Authorization/roleDefinitions/write","False"
"Contributor","Microsoft.Authorization/policySetDefinitions/write","False"
"Contributor","Microsoft.Authorization/policyDefinitions/write","False"
"Contributor","Microsoft.Authorization/policyAssignments/write","False"
"Contributor","Microsoft.Authorization/denyAssignments/write","False"
"Contributor","Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/write","False"
"Contributor","Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/write","False"
"Contributor","Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/write","False"
"Contributor","Microsoft.Authorization/policyAssignments/privateLinkAssociations/write","False"
"Contributor","Microsoft.Authorization/policyExemptions/write","False"
"Contributor","Microsoft.Authorization/roleAssignmentScheduleRequests/write","False"
"Contributor","Microsoft.Authorization/roleEligibilityScheduleRequests/write","False"
"Contributor","Microsoft.Authorization/roleManagementPolicies/write","False"
"Contributor","Microsoft.Authorization/diagnosticSettings/write","False"
"Contributor","Microsoft.Authorization/policySetDefinitions/versions/write","False"
"Contributor","Microsoft.Authorization/policyDefinitions/versions/write","False"
"Contributor","Microsoft.Authorization/policyEnrollments/write","False"
"Contributor","Microsoft.Authorization/roleEligibilityScheduleRequests/whenApprovalRequired/write","False"
"Contributor","Microsoft.Authorization/elevateAccess/action","False"
"Contributor","Microsoft.Blueprint/blueprintAssignments/write","False"
"Contributor","Microsoft.Blueprint/blueprintAssignments/delete","False"
"Contributor","Microsoft.Compute/galleries/share/action","False"
"Contributor","Microsoft.Purview/consents/write","False"
"Contributor","Microsoft.Purview/consents/delete","False"
"Contributor","Microsoft.Resources/deploymentStacks/manageDenySetting/action","False"
"Contributor","Microsoft.Subscription/cancel/action","False"
"Contributor","Microsoft.Subscription/enable/action","False"
